"Record ID","Item type","Content type","ISSN","Languages","Library of Congress classifications","Dewey classifications","Title","Other titles","Creators/Contributors","Publisher","Country of publication","Journal","Publication frequency","Year","Volume","Part/Number","Issue","Supplement","Season/Month","Start page","End page","Citation","British Library shelfmark"
"(Uk)EN006663266","article","text","0031-0182","","QE500","560.45","The Last Glacial Maximum in central and southern North Island, New Zealand: a paleoenvironmental reconstruction using the Kawakawa Tephra Formation as a chronostratigraphic marker","Quaternary Palaeoclimates of the Southern Hemisphere","McGlone, M. ; Mildenhall, D. ; Palmer, A. ; Partridge, T. C. ; Pillans, B. ; Williams, M. A. J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","101","3/4","","","","283","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 101(3/4), 283. (1993)","6343.450000"
"(Uk)EN006663278","article","text","0031-0182","","QE500","560.45","Late Pleistocene river morphological change, southeastern Australia: the conundrum of sinuous channels during the Last Glacial Maximum","Quaternary Palaeoclimates of the Southern Hemisphere","Fried, A. W. ; Partridge, T. C. ; Williams, M. A. J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","101","3/4","","","","305","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 101(3/4), 305. (1993)","6343.450000"
"(Uk)EN006663280","article","text","0031-0182","","QE500","560.45","The Pretoria Saltpan: a 200,000 year Southern African lacustrine sequence","Quaternary Palaeoclimates of the Southern Hemisphere","Kerr, S. J. ; Metcalfe, S. E. ; Partridge, T. C. ; Scott, L. ; Williams, M. A. J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","101","3/4","","","","317","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 101(3/4), 317. (1993)","6343.450000"
"(Uk)EN007190268","article","text","0094-8373","","QE701","560","Phylogenies and angiosperm diversification","","Donoghue, M. J. ; Doyle, J. A.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","141","","PALEOBIOLOGY -CHICAGO 19(2), 141. (1993)","6345.280000"
"(Uk)EN007190270","article","text","0094-8373","","QE701","560","Numerical experiments with model monophyletic and paraphyletic taxa","","Kendrick, D. C. ; Sepkoski, J. J.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","168","","PALEOBIOLOGY -CHICAGO 19(2), 168. (1993)","6345.280000"
"(Uk)EN007190281","article","text","0094-8373","","QE701","560","Discordance and concordance between morphological and taxonomic diversity","","Foote, M.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","185","","PALEOBIOLOGY -CHICAGO 19(2), 185. (1993)","6345.280000"
"(Uk)EN007190293","article","text","0094-8373","","QE701","560","Levels of selection and macroevolutionary patterns in the turritellid gastropods","","Allmon, W. D. ; Eldredge, N. ; Lieberman, B. S.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","205","","PALEOBIOLOGY -CHICAGO 19(2), 205. (1993)","6345.280000"
"(Uk)EN007190300","article","text","0094-8373","","QE701","560","Taxonomic evolution in North American Neogene horses (subfamily Equinae): the rise and fall of an adaptive radiation","","Hulbert, R. C.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","216","","PALEOBIOLOGY -CHICAGO 19(2), 216. (1993)","6345.280000"
"(Uk)EN007190311","article","text","0094-8373","","QE701","560","The taphonomy of Maastrichtian inoceramids in the Basque region of France and Spain and the pattern of their decline and disappearance","","MacLeod, K. G. ; Orr, W. N.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","235","","PALEOBIOLOGY -CHICAGO 19(2), 235. (1993)","6345.280000"
"(Uk)EN007190323","article","text","0094-8373","","QE701","560","The first 2 million years after the Cretaceous-Tertiary boundary in east Texas: rate and paleoecology of the molluscan recovery","","Farrell, B. R. ; Hansen, T. A. ; Upshaw, B.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","251","","PALEOBIOLOGY -CHICAGO 19(2), 251. (1993)","6345.280000"
"(Uk)EN007190335","article","text","0094-8373","","QE701","560","Time and taphonomy: quantitative estimates of time-averaging and stratigraphic disorder in a shallow marine habitat","","Cutler, A. H. ; Flessa, K. W. ; Meldahl, K. H.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","2","","","","266","","PALEOBIOLOGY -CHICAGO 19(2), 266. (1993)","6345.280000"
"(Uk)EN007699931","article","text","0031-0182","","QE500","560.45","Tidal wetland record of Holocene sea-level movements and climate history","","Brush, G. S. ; Fletcher, C. H. ; Sherman, J. ; Van Pelt, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","102","3/4","","","","177","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 102(3/4), 177. (1993)","6343.450000"
"(Uk)EN007699943","article","text","0031-0182","","QE500","560.45","Griesbachian (Earliest Triassic) palaeoenvironmental changes in the Salt Range, Pakistan and southeast China and their bearing on the Permo-Triassic mass extinction","","Hallam, A. ; Wignall, P. B.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","102","3/4","","","","215","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 102(3/4), 215. (1993)","6343.450000"
"(Uk)EN007699955","article","text","0031-0182","","QE500","560.45","Occurrence and taphonomy of bivalves from the Nijar reef (Messinian, Late Miocene, SE Spain)","","Braga, J. C. ; Jimenez, A. P.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","102","3/4","","","","239","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 102(3/4), 239. (1993)","6343.450000"
"(Uk)EN007699967","article","text","0031-0182","","QE500","560.45","Palaeogeography of the western Pelagonian continental margin in Beotia (Greece) during the Cretaceous-biostratigraphy and isotopic compositions (δ¹³C, δ¹⁸O) of calcareous deposits","","Gotzes, R. ; Raeder, M. ; Steuber, T. ; Walter, J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","102","3/4","","","","253","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 102(3/4), 253. (1993)","6343.450000"
"(Uk)EN007699979","article","text","0031-0182","","QE500","560.45","Climatic optimum during the Holocene and the distribution of warm-water mollusks in the Sea of Japan","","Lutaenko, K. A.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","102","3/4","","","","273","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 102(3/4), 273. (1993)","6343.450000"
"(Uk)EN007699980","article","text","0031-0182","","QE500","560.45","La presence de fossiles marins dans le Cretace terminal des Andes centrales et ses consequences paleogeographiques","","Cappetta, H. ; Gayet, M. ; Jaillard, E. ; Sempere, T.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","102","3/4","","","","283","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 102(3/4), 283. (1993)","6343.450000"
"(Uk)EN007699992","article","text","0031-0182","","QE500","560.45","Species longevity and generic diversity in dicynodont mammal-like reptiles","","King, G. M.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","102","3/4","","","","321","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 102(3/4), 321. (1993)","6343.450000"
"(Uk)EN008027912","article","text","0377-8398","","QE719","560","Recent deep-sea benthic foraminiferal distributions in the South China and Sulu Seas","","Miao, O. ; Thunell, R. C.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1993","22","1/2","","","","1","","MARINE MICROPALAEONTOLOGY 22(1/2), 1. (1993)","5376.400000"
"(Uk)EN008027924","article","text","0377-8398","","QE719","560","Benthic foraminiferal assemblages from the eastern South Atlantic Polar Front region between 35° and 57°S: Distribution, ecology and fossilization potential","","Fuetterer, D. K. ; Grobe, H. ; Mackensen, A. ; Schmiedl, G.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1993","22","1/2","","","","33","","MARINE MICROPALAEONTOLOGY 22(1/2), 33. (1993)","5376.400000"
"(Uk)EN008027936","article","text","0377-8398","","QE719","560","Benthic Ostracoda in the Benguela System (SE Atlantic): A multivariate analysis","","Dingle, R. V. ; Giraudeau, J.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1993","22","1/2","","","","71","","MARINE MICROPALAEONTOLOGY 22(1/2), 71. (1993)","5376.400000"
"(Uk)EN008027948","article","text","0377-8398","","QE719","560","Distribution and malformation of living coccolithophores in the northern Benguela upwelling system off Namibia","","Giraudeau, J. ; Monteiro, P. M. S. ; Nikodemus, K.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1993","22","1/2","","","","93","","MARINE MICROPALAEONTOLOGY 22(1/2), 93. (1993)","5376.400000"
"(Uk)EN008027950","article","text","0377-8398","","QE719","560","High resolution Pliocene-Pleistocene radiolarian stratigraphy of the tropical Indian Ocean","","Caulet, J. P. ; Nigrini, C. ; Schneider, D. A.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1993","22","1/2","","","","111","","MARINE MICROPALAEONTOLOGY 22(1/2), 111. (1993)","5376.400000"
"(Uk)EN008027961","article","text","0377-8398","","QE719","560","Dinoflagellate cyst stratigraphy of the Eocene/Oligocene transition in central Italy","","Biffi, U. ; Brinkhuis, H.","","Netherlands","MARINE MICROPALAEONTOLOGY","4 issues per year","1993","22","1/2","","","","131","","MARINE MICROPALAEONTOLOGY 22(1/2), 131. (1993)","5376.400000"
"(Uk)EN008747933","article","text","0031-0182","","QE500","560.45","Paleotemperature of the last interglacial period based on δ¹⁸O of Strombus bubonius from the western Mediterranean Sea","200 ka of Global Change","Bard, E. ; Cornu, S. ; Guiot, J. ; Meco, J. ; Meulenkami, J. E. ; Paetzold, J. ; Sarnthein, M. ; Van Hinte, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","1","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 1. (1993)","6343.450000"
"(Uk)EN008747945","article","text","0031-0182","","QE500","560.45","Quaternary history of calcium carbonate fluctuations in the western equatorial Indian Ocean (Somali Basin)","200 ka of Global Change","Bornmalm, L. ; Divakar Naidu, P. ; Guiot, J. ; Malmgren, B. A. ; Meulenkami, J. E. ; Sarnthein, M. ; Van Hinte, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","21","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 21. (1993)","6343.450000"
"(Uk)EN008747957","article","text","0031-0182","","QE500","560.45","Pacific carbonate dissolution revisited","200 ka of Global Change","Broecker, W. S. ; Guiot, J. ; Meulenkami, J. E. ; Oxburgh, R. ; Sarnthein, M. ; Van Hinte, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","31","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 31. (1993)","6343.450000"
"(Uk)EN008747969","article","text","0031-0182","","QE500","560.45","Ocean-atmosphere carbon exchange: impact of the 'biological pump' in the Atlantic equatorial upwelling belt over the last 330,000 years","200 ka of Global Change","Barnola, J. M. ; Guiot, J. ; Meulenkami, J. E. ; Sarnthein, M. ; Struck, U. ; Van Hinte, J. E. ; Westerhausen, L.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","41","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 41. (1993)","6343.450000"
"(Uk)EN008747970","article","text","0031-0182","","QE500","560.45","Comparison of two U^K₃₇-sea surface temperature records for the last climatic cycle at ODP Site 658 from the sub-tropical Northeast Atlantic","200 ka of Global Change","Eglinton, G. ; Guiot, J. ; Meulenkami, J. E. ; Rosell, A. ; Sarnthein, M. ; Van Hinte, J. E. ; Zhao, M.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","57","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 57. (1993)","6343.450000"
"(Uk)EN008747982","article","text","0031-0182","","QE500","560.45","The continental tree-ring record - absolute chronology, ¹⁴C calibration and climatic change at 11 ka","200 ka of Global Change","Becker, B. ; Guiot, J. ; Kromer, B. ; Meulenkami, J. E. ; Sarnthein, M. ; Van Hinte, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","67","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 67. (1993)","6343.450000"
"(Uk)EN008747994","article","text","0031-0182","","QE500","560.45","The climate in Western Europe during the last Glacial/Interglacial cycle derived from pollen and insect remains","200 ka of Global Change","Cheddadi, R. ; David, F. ; De Beaulieu, J. L. ; Guiot, J. ; Meulenkami, J. E. ; Sarnthein, M. ; Van Hinte, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","73","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 73. (1993)","6343.450000"
"(Uk)EN008748007","article","text","0031-0182","","QE500","560.45","Pluvial conditions in the eastern Sahara following the penultimate deglaciation: implications for changes in atmospheric circulation patterns with global warming","200 ka of Global Change","Guiot, J. ; McKenzie, J. A. ; Meulenkami, J. E. ; Sarnthein, M. ; Van Hinte, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","95","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 95. (1993)","6343.450000"
"(Uk)EN008748019","article","text","0031-0182","","QE500","560.45","Modelling the last ice-age cycle with 2-D climate models","200 ka of Global Change","Berger, A. ; Guiot, J. ; Herterich, K. ; Meulenkami, J. E. ; Sarnthein, M. ; Van Hinte, J. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","1/2","","","","107","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(1/2), 107. (1993)","6343.450000"
"(Uk)EN009357543","article","text","0031-0182","","QE500","560.45","Neogene to Quaternary clay mineral fluxes in the Central Indian basin","","Bout, V. ; Chamley, H. ; Debrabant, P. ; Fagel, N.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","117","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 117. (1993)","6343.450000"
"(Uk)EN009357555","article","text","0031-0182","","QE500","560.45","Chitin preservation in Quaternary Coleoptera: preliminary results","","Jeuniaux, C. ; Miller, R. F. ; Toussaint, C. ; Voss-Foucart, M.-F.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","133","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 133. (1993)","6343.450000"
"(Uk)EN009357567","article","text","0031-0182","","QE500","560.45","Palaeoenvironmental indicators from Late Holocene and contemporary ostracoda of the Aral Sea","","Boomer, I.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","141","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 141. (1993)","6343.450000"
"(Uk)EN009357579","article","text","0031-0182","","QE500","560.45","Faunal replacement in the Early Jurassic of northern Chile: implications for the evolution in Mesozoic benthic shelf ecosystems","","Aberhan, M.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","155","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 155. (1993)","6343.450000"
"(Uk)EN009357580","article","text","0031-0182","","QE500","560.45","Sequence stratigraphic analysis and paleogeographic interpretation of the Buntsandstein and Muschelkalk facies (Permo-Triassic) in the SE Iberian Range, E Spain","","Arche, A. ; Lopez-Gomez, J.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","179","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 179. (1993)","6343.450000"
"(Uk)EN009357592","article","text","0031-0182","","QE500","560.45","Geochemical signatures preserved in sediments of the Semaforo and Vrica sections (Calabria, Italy) and their relations with variations of the sedimentary regime","","Van der Weijden, C. H.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","203","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 203. (1993)","6343.450000"
"(Uk)EN009357609","article","text","0031-0182","","QE500","560.45","Transgression et paleoenvironnement a l'Oligocene en Bretagne (France). Sedimentologie, micropaleontologie, palynologie et palynofacies du Rupelien du Bassin de Rennes","","Esteoule-Choux, J. ; Maupin, C. ; Ollivier-Pierre, M. F. ; Sittler, C.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","223","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 223. (1993)","6343.450000"
"(Uk)EN009357610","article","text","0031-0182","","QE500","560.45","Paleodepositional setting of the Late Cretaceous Pautut Flora from West Greenland as determined by sedimentological and plant taphonomical data","","Boyd, A.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","251","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 251. (1993)","6343.450000"
"(Uk)EN009357622","article","text","0031-0182","","QE500","560.45","The Krithe problem: A case history of the distribution of Krithe and Parakrithe (Crustacea, Ostracoda) in the South China Sea","","Quanhong, Z. ; Whatley, R.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","103","3/4","","","","281","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 103(3/4), 281. (1993)","6343.450000"
"(Uk)EN010041648","article","text","0094-8373","","QE701","560","Symposium on comparative biology and its bearing on Phanerozoic patterns of evolution","","Rhodes, M. C. ; Vermeij, G. J.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","3","","","","287","","PALEOBIOLOGY -CHICAGO 19(3), 287. (1993)","6345.280000"
"(Uk)EN010041650","article","text","0094-8373","","QE701","560","Trilobite vision: a comparison of schizochroal and holochroal eyes with the compound eyes of modern arthropods","","Cronin, T. W. ; Fordyce, D.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","3","","","","288","","PALEOBIOLOGY -CHICAGO 19(3), 288. (1993)","6345.280000"
"(Uk)EN010041661","article","text","0094-8373","","QE701","560","Survivorship analysis of Paleozoic Crinoidea: effect of filter morphology on evolutionary rates","","Baumiller, T. K.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","3","","","","304","","PALEOBIOLOGY -CHICAGO 19(3), 304. (1993)","6345.280000"
"(Uk)EN010041673","article","text","0094-8373","","QE701","560","Comparative physiology of suspension-feeding in living brachiopods and bivalves: evolutionary implications","","Rhodes, M. C. ; Thompson, R. J.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","3","","","","322","","PALEOBIOLOGY -CHICAGO 19(3), 322. (1993)","6345.280000"
"(Uk)EN010041685","article","text","0094-8373","","QE701","560","A faster-paced world? contrasts in biovolume and life-process rates in cyclostome (Class Stenolaemata) and cheilostome (Class Gymnolaemata) bryozoans","","McKinney, F. K.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","3","","","","335","","PALEOBIOLOGY -CHICAGO 19(3), 335. (1993)","6345.280000"
"(Uk)EN010041697","article","text","0094-8373","","QE701","560","Competition, clade replacement, and a history of cyclostome and cheilostome bryozoan diversity","","Lidgard, S. ; McKinney, F. K. ; Taylor, P. D.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","3","","","","352","","PALEOBIOLOGY -CHICAGO 19(3), 352. (1993)","6345.280000"
"(Uk)EN010041703","article","text","0094-8373","","QE701","560","Seafood through time: changes in biomass, energetics, and productivity in the marine ecosystem","","Bambach, R. K.","PALEOBIOLOGY","United States","PALEOBIOLOGY -CHICAGO","4 issues per year","1993","19","3","","","","372","","PALEOBIOLOGY -CHICAGO 19(3), 372. (1993)","6345.280000"
"(Uk)EN010295117","article","text","0031-0182","","QE500","560.45","Complex organisms from the Udokan Complex of Eastern Siberia with implications for its age","Event Markers in Earth History","Burmistrov, V. N. ; Geldsetzer, H. H. J. ; Nowlan, G. S.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","3","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 3. (1993)","6343.450000"
"(Uk)EN010295129","article","text","0031-0182","","QE500","560.45","Depositional history and sequence stratigraphy of the Precambrian-Cambrian boundary stratotype section. Chapel Island Formation, southeast Newfoundland","Event Markers in Earth History","Geldsetzer, H. H. J. ; Hiscott, R. N. ; Myrow, P. M. ; Nowlan, G. S.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","13","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 13. (1993)","6343.450000"
"(Uk)EN010295130","article","text","0031-0182","","QE500","560.45","A major conodont extinction event during the Early Ordovician within the Midcontinent Realm","Event Markers in Earth History","Barnes, C. R. ; Geldsetzer, H. H. J. ; Ji, Z. ; Nowlan, G. S.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","37","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 37. (1993)","6343.450000"
"(Uk)EN010295142","article","text","0031-0182","","QE500","560.45","Oxygen and carbon isotopes and event stratigraphy near the Ordovician-Silurian boundary, Anticosti Island Quebec","Event Markers in Earth History","Geldsetzer, H. H. J. ; Long, D. G. F. ; Nowlan, G. S.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","49","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 49. (1993)","6343.450000"
"(Uk)EN010295154","article","text","0031-0182","","QE500","560.45","The great latest Ordovician extinction on the South China Plate: Chemostratigraphic studies of the Ordovician-Silurian boundary interval on the Yangtze Platform","Event Markers in Earth History","Attrep, M. ; Chatterton, B. D. E. ; Geldsetzer, H. H. J. ; Nowlan, G. S. ; Orth, C. J. ; Wang, K.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","61","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 61. (1993)","6343.450000"
"(Uk)EN010295166","article","text","0031-0182","","QE500","560.45","The Frasnian-Famennian extinction event in a stable cratonic shelf setting: Trout River, Northwest Territories, Canada","Event Markers in Earth History","Geldsetzer, H. H. J. ; Goodfellow, W. D. ; McLaren, D. J. ; Nowlan, G. S.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","81","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 81. (1993)","6343.450000"
"(Uk)EN010295178","article","text","0031-0182","","QE500","560.45","Carbon and oxygen isotope event markers near the Frasnian-Famennian boundary, Luoxiu section, South China","Event Markers in Earth History","Geldsetzer, H. H. J. ; Hong-Fei, H. ; Lian-Fang, Y. ; Nowlan, G. S. ; Zheng, Y.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","97","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 97. (1993)","6343.450000"
"(Uk)EN010295180","article","text","0031-0182","","QE500","560.45","Upper Devonian iridium anomalies, conodont zonation and the Frasnian-Famennian boundary in the Canning Basin, Western Australia","Event Markers in Earth History","Geldsetzer, H. H. J. ; Nicoll, R. S. ; Nowlan, G. S. ; Playford, P. E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","105","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 105. (1993)","6343.450000"
"(Uk)EN010295191","article","text","0031-0182","","QE500","560.45","Event-stratigraphic markers within the Kellwasser Crisis near the Frasnian/Famennian boundary (Upper Devonian) in Germany","Event Markers in Earth History","Geldsetzer, H. H. J. ; Nowlan, G. S. ; Schindler, E.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","115","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 115. (1993)","6343.450000"
"(Uk)EN010295208","article","text","0031-0182","","QE500","560.45","Biochronological aspects of the Devonian-Carboniferous crisis in the regions of the former USSR","Event Markers in Earth History","Geldsetzer, H. H. J. ; Nowlan, G. S. ; Simakov, K. V.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","127","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 127. (1993)","6343.450000"
"(Uk)EN010295210","article","text","0031-0182","","QE500","560.45","Middle Palaezoic extinction events: Faunal and isotopic data","Event Markers in Earth History","Andrew, A. S. ; Geldsetzer, H. H. J. ; Hamilton, P. J. ; Mawson, R. ; Nowlan, G. S. ; Talent, J. A.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1993","104","1/4","","","","139","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 104(1/4), 139. (1993)","6343.450000"
